rainfall_24h,rainfall_7d,temperature,humidity,wind_speed,elevation,river_proximity,flood_history_freq,soil_saturation_idx,population_density,risk_level
44.16,325.51,28.5,98.7,10.8,355.3,2.79,0.089,0.651,889.0,1
4.8,15.3,44.3,93.8,32.1,110.6,2.75,0.184,0.031,10392.0,0
11.74,87.94,27.2,80.6,14.4,244.5,8.83,0.238,0.176,974.0,0
8.07,51.23,33.3,41.0,2.5,56.2,7.41,0.166,0.102,4308.0,0
19.89,157.36,21.3,81.1,55.6,11.8,0.75,0.046,0.315,11201.0,1
59.07,336.19,27.5,98.0,19.7,71.5,4.28,0.46,0.672,4444.0,2
43.84,330.92,34.9,46.3,70.2,70.6,0.44,0.05,0.662,1293.0,2
2.12,9.21,24.0,92.3,10.8,177.4,2.32,0.146,0.018,3343.0,0
13.51,102.78,25.6,68.8,0.2,115.5,8.59,0.167,0.206,2488.0,0
26.73,172.4,41.7,46.3,8.6,18.1,1.84,0.33,0.345,648.0,2
26.9,147.18,30.9,41.7,14.4,106.0,12.74,0.538,0.294,3829.0,1
37.52,283.02,32.9,51.9,15.3,206.8,0.87,0.421,0.566,1988.0,1
46.39,238.74,27.0,88.9,7.4,380.7,5.06,0.43,0.477,560.0,1
0.49,3.72,26.9,79.6,4.7,55.9,1.48,0.145,0.007,2220.0,1
7.75,32.81,28.0,64.5,16.2,50.2,16.83,0.37,0.066,7679.0,0
23.69,173.58,31.3,90.8,7.4,160.9,7.49,0.449,0.347,1119.0,1
2.91,10.8,28.7,85.3,19.2,95.0,0.4,0.14,0.022,2642.0,1
85.76,263.73,47.5,55.8,16.3,579.9,2.99,0.558,0.527,4061.0,1
51.9,162.3,41.0,82.5,6.0,39.7,3.57,0.112,0.325,1577.0,1
0.15,1.03,33.6,98.8,0.6,167.4,6.64,0.11,0.002,100.0,0
1.38,5.43,23.8,64.6,1.9,36.5,2.95,0.446,0.011,8303.0,0
2.09,15.19,37.5,52.9,26.5,515.0,5.05,0.255,0.03,112.0,0
45.49,182.03,29.2,58.5,5.0,72.7,5.51,0.219,0.364,1699.0,1
8.37,44.33,22.5,41.7,59.9,196.1,3.47,0.261,0.089,1871.0,0
27.4,150.72,32.4,42.7,1.2,310.9,8.67,0.352,0.301,489.0,0
81.82,366.69,32.1,62.7,14.8,72.8,4.81,0.065,0.733,404.0,2
13.58,104.5,34.9,73.0,14.0,248.9,1.94,0.167,0.209,611.0,1
4.4,16.05,32.0,67.3,12.1,26.1,8.1,0.102,0.032,4712.0,0
31.44,204.24,26.6,55.7,19.6,252.1,3.07,0.096,0.408,6765.0,0
46.73,373.51,29.8,51.4,17.0,249.5,21.13,0.364,0.747,585.0,1
63.68,338.08,21.2,74.0,20.9,14.2,9.66,0.293,0.676,167.0,2
25.35,91.49,25.1,88.7,11.4,81.9,2.02,0.803,0.183,1359.0,1
65.39,292.89,21.3,49.9,10.5,136.5,0.96,0.092,0.586,2488.0,2
13.15,74.02,29.2,41.1,11.6,198.4,26.16,0.325,0.148,1569.0,0
3.02,19.86,31.0,65.9,33.0,74.8,0.22,0.353,0.04,2225.0,1
49.32,365.44,35.2,69.7,71.3,10.0,1.34,0.292,0.731,138.0,2
6.75,49.99,27.4,49.7,3.0,169.6,2.11,0.501,0.1,803.0,0
113.43,795.42,28.0,74.8,6.0,365.8,7.19,0.091,1.0,525.0,2
3.56,10.94,38.0,66.3,19.6,758.5,7.65,0.201,0.022,172.0,0
66.38,330.43,23.3,57.2,1.4,392.6,4.47,0.135,0.661,1986.0,1
0.15,0.7,29.0,76.4,45.5,105.0,0.89,0.046,0.001,7427.0,1
1.6,8.0,30.1,84.2,34.1,78.0,0.46,0.272,0.016,1245.0,1
63.46,210.61,32.2,86.4,5.6,10.0,6.79,0.562,0.421,4507.0,2
27.82,104.38,29.7,89.9,0.1,276.6,0.26,0.6,0.209,5930.0,2
31.04,112.75,35.0,76.6,82.5,181.0,7.71,0.107,0.225,2079.0,0
5.56,29.51,20.1,92.6,11.2,403.2,1.52,0.091,0.059,442.0,0
38.72,268.09,22.8,90.1,4.9,125.5,3.07,0.11,0.536,6196.0,1
24.76,183.86,43.9,49.8,3.7,53.6,2.82,0.506,0.368,1454.0,1
22.36,71.66,28.6,61.0,17.2,170.5,19.1,0.088,0.143,2098.0,0
6.63,49.21,18.5,64.3,1.5,741.7,0.75,0.084,0.098,138.0,0
40.3,189.28,26.7,47.4,15.6,1136.8,1.32,0.424,0.379,11973.0,1
7.56,37.93,30.6,94.9,8.1,213.7,0.9,0.364,0.076,100.0,0
8.72,57.14,37.3,58.9,1.9,74.3,2.85,0.199,0.114,2859.0,0
4.98,31.48,29.9,64.8,6.7,267.8,6.76,0.323,0.063,4689.0,0
87.16,542.51,26.8,82.9,1.5,14.5,0.87,0.143,1.0,100.0,3
134.95,536.83,20.0,93.1,21.1,181.7,0.1,0.454,1.0,3555.0,3
76.81,595.94,27.4,63.7,14.4,442.9,8.89,0.063,1.0,3850.0,1
17.89,96.75,37.0,51.6,12.4,15.5,2.14,0.233,0.194,2173.0,1
8.1,32.06,38.9,82.9,5.8,81.1,6.72,0.359,0.064,923.0,0
17.01,64.25,27.1,86.8,42.0,217.8,3.53,0.143,0.128,941.0,0
0.42,2.04,27.5,84.7,2.8,186.2,1.7,0.296,0.004,1005.0,1
14.37,86.44,19.9,95.3,12.5,261.2,5.05,0.526,0.173,1347.0,0
2.84,14.3,20.0,53.6,4.2,446.1,3.78,0.214,0.029,1058.0,0
9.98,79.35,35.1,76.7,6.9,59.6,0.2,0.082,0.159,1402.0,1
9.58,57.55,25.5,47.5,2.8,382.3,10.12,0.481,0.115,1677.0,0
0.96,4.36,38.1,53.3,1.9,33.5,9.03,0.122,0.009,1269.0,0
36.11,177.04,27.4,83.1,3.4,208.0,5.81,0.106,0.354,1232.0,0
76.2,391.2,33.3,63.5,9.4,15.9,4.03,0.177,0.782,1541.0,2
11.26,59.54,40.8,68.0,17.4,79.9,2.64,0.246,0.119,830.0,1
13.8,73.7,27.6,69.8,8.6,99.8,3.46,0.513,0.147,1601.0,1
1.71,9.64,24.1,75.1,13.2,136.2,1.86,0.293,0.019,3377.0,1
6.89,31.95,17.2,62.3,7.5,21.1,7.18,0.433,0.064,13397.0,1
14.7,72.71,15.8,77.4,1.5,194.1,1.61,0.151,0.145,225.0,1
18.91,67.66,36.6,70.7,10.3,12.5,4.67,0.285,0.135,1258.0,1
27.49,152.14,30.0,61.3,27.2,150.2,0.15,0.344,0.304,3385.0,1
29.88,228.61,34.9,69.9,7.6,557.5,3.57,0.296,0.457,8067.0,0
5.35,38.91,33.1,83.3,24.2,573.0,1.32,0.266,0.078,4794.0,0
16.81,115.57,30.6,42.6,2.6,14.7,0.1,0.562,0.231,2264.0,2
3.09,14.36,24.5,74.7,13.8,177.2,0.63,0.038,0.029,4385.0,0
2.44,8.36,26.5,67.1,28.2,194.3,0.99,0.373,0.017,327.0,0
26.25,101.44,27.9,76.2,11.3,808.8,6.89,0.407,0.203,3516.0,0
35.37,264.09,26.7,70.2,4.8,186.4,3.61,0.179,0.528,1510.0,1
4.27,16.67,31.8,59.3,60.1,19.4,1.5,0.267,0.033,1731.0,1
46.48,218.23,34.1,84.0,1.0,180.0,15.27,0.034,0.436,4014.0,1
33.03,247.82,23.1,81.0,1.7,148.0,4.25,0.15,0.496,3539.0,1
29.35,107.93,38.7,48.1,13.7,320.8,4.53,0.153,0.216,131.0,0
70.75,407.61,22.4,56.1,2.1,505.6,2.25,0.435,0.815,1642.0,2
5.58,19.26,33.8,68.1,28.4,79.3,2.07,0.151,0.039,8916.0,0
32.96,130.43,25.9,90.8,0.9,10.0,0.86,0.232,0.261,4098.0,1
8.51,53.77,38.3,97.7,1.9,247.3,1.31,0.365,0.108,4062.0,0
4.22,13.23,20.3,96.9,17.3,629.5,9.97,0.175,0.026,487.0,0
2.27,15.75,30.0,63.1,1.1,335.0,4.33,0.142,0.032,1024.0,0
37.85,170.47,23.4,55.6,33.2,72.7,5.27,0.32,0.341,3210.0,1
5.21,19.36,29.5,66.3,12.8,273.8,7.41,0.584,0.039,1612.0,0
16.48,103.91,24.4,92.9,1.1,70.1,5.89,0.503,0.208,10087.0,1
31.81,108.82,19.2,44.0,10.5,138.5,6.14,0.347,0.218,2581.0,1
2.5,19.37,37.4,91.9,0.3,304.8,5.05,0.628,0.039,4375.0,0
34.82,276.25,23.9,83.9,57.7,24.8,2.83,0.213,0.552,6665.0,1
16.39,92.48,31.5,97.1,26.7,42.5,2.03,0.282,0.185,12376.0,1
7.76,54.52,33.5,50.4,10.2,233.0,5.28,0.355,0.109,6462.0,0
5.58,27.54,36.6,82.8,36.4,432.7,1.65,0.104,0.055,1514.0,0
12.19,88.16,13.6,99.3,1.1,10.0,0.81,0.148,0.176,1138.0,1
15.73,81.5,33.6,62.0,29.4,74.0,3.79,0.192,0.163,100.0,1
21.89,106.36,32.5,88.4,11.4,22.3,7.98,0.542,0.213,1003.0,1
5.36,39.62,42.2,45.4,5.6,111.3,2.67,0.475,0.079,2864.0,0
5.48,40.1,24.5,77.3,25.5,210.9,2.76,0.301,0.08,5267.0,0
9.31,42.22,30.5,77.4,39.3,96.6,0.82,0.417,0.084,1037.0,0
5.32,37.44,38.3,63.2,26.9,96.1,8.69,0.362,0.075,8882.0,0
9.6,57.82,32.6,95.2,14.8,421.7,4.42,0.612,0.116,4360.0,0
3.64,18.91,28.4,48.5,29.1,23.1,5.31,0.077,0.038,4926.0,0
4.95,36.18,26.3,65.2,27.0,294.8,8.41,0.363,0.072,3701.0,0
38.56,131.34,31.7,90.6,5.2,212.8,0.2,0.408,0.263,2314.0,1
8.04,44.34,22.1,61.4,33.0,279.4,1.63,0.352,0.089,3594.0,0
4.24,23.75,38.9,61.4,5.2,79.5,2.89,0.264,0.047,100.0,0
28.39,89.95,30.8,98.9,5.0,116.5,0.33,0.525,0.18,8799.0,2
56.56,404.16,35.1,44.6,13.7,53.0,1.53,0.037,0.808,8465.0,2
91.5,335.77,27.2,62.5,1.8,107.6,7.8,0.152,0.672,5820.0,1
12.69,54.96,15.9,96.9,6.7,21.1,0.21,0.194,0.11,1124.0,1
8.39,26.13,32.0,42.2,8.6,25.0,2.7,0.123,0.052,8669.0,1
11.12,84.43,32.4,74.6,18.4,107.9,1.27,0.242,0.169,701.0,1
8.99,47.81,18.0,66.7,67.4,42.9,7.32,0.022,0.096,1886.0,0
48.89,246.52,21.0,68.1,28.0,187.9,4.7,0.453,0.493,638.0,1
22.2,90.8,24.3,48.8,10.7,509.9,9.82,0.2,0.182,2925.0,0
12.23,56.36,34.8,92.9,16.1,70.1,3.11,0.363,0.113,3504.0,0
37.14,283.8,31.6,79.9,13.0,370.5,1.68,0.136,0.568,373.0,1
7.65,35.93,24.0,85.1,23.1,52.2,18.04,0.424,0.072,100.0,0
46.05,298.3,26.8,79.0,31.8,58.8,0.15,0.356,0.597,4151.0,2
7.5,56.64,26.3,98.1,10.3,68.6,7.35,0.374,0.113,11299.0,0
15.19,67.48,25.7,61.3,18.6,39.4,0.56,0.076,0.135,6602.0,1
15.04,72.65,23.8,40.1,13.0,338.3,0.19,0.078,0.145,855.0,0
29.64,148.77,24.1,48.0,2.3,10.0,3.9,0.206,0.298,1245.0,1
2.95,17.11,39.4,43.4,14.0,151.1,3.68,0.219,0.034,1847.0,0
3.0,19.35,29.8,85.7,2.6,288.4,0.36,0.021,0.039,547.0,0
1.79,6.97,31.7,64.3,10.2,674.7,17.64,0.146,0.014,1497.0,0
3.3,14.08,21.4,87.9,6.6,550.0,9.24,0.17,0.028,891.0,0
12.77,70.13,17.7,93.0,13.9,236.6,2.47,0.348,0.14,1489.0,0
8.65,63.49,26.4,61.1,0.8,25.4,1.07,0.18,0.127,3569.0,1
10.79,76.25,25.8,86.0,23.1,123.1,0.1,0.43,0.152,633.0,1
2.99,11.73,30.7,75.4,11.1,223.8,0.38,0.382,0.023,2721.0,0
9.15,33.16,30.8,64.3,0.6,63.6,2.56,0.782,0.066,2134.0,1
20.0,76.55,34.8,84.3,65.2,197.2,11.49,0.103,0.153,505.0,0
7.98,40.19,28.8,94.4,21.2,797.0,7.45,0.804,0.08,885.0,0
15.61,121.22,21.3,69.0,10.9,10.0,4.78,0.585,0.242,1778.0,1
5.28,41.83,31.9,70.3,9.6,119.3,2.04,0.316,0.084,719.0,0
26.18,171.55,27.7,79.3,31.5,463.1,4.06,0.28,0.343,7114.0,0
14.1,53.72,33.0,90.6,13.3,94.7,0.45,0.364,0.107,8038.0,0
15.57,83.8,35.8,79.0,5.9,10.3,2.59,0.225,0.168,1059.0,1
1.19,4.56,32.8,48.0,10.5,303.6,1.23,0.629,0.009,4575.0,0
2.33,17.62,33.8,80.4,11.8,93.8,0.72,0.339,0.035,1990.0,0
13.0,91.94,40.6,40.2,6.8,29.9,5.85,0.063,0.184,7774.0,1
2.45,10.4,16.7,89.0,9.4,501.2,7.78,0.438,0.021,2814.0,0
24.17,97.74,17.8,60.6,21.4,175.5,0.19,0.165,0.195,762.0,1
21.96,111.06,31.8,81.0,3.9,1239.6,2.82,0.192,0.222,4288.0,0
22.64,79.56,34.0,54.5,23.3,225.2,1.26,0.362,0.159,4034.0,0
7.12,45.93,26.8,65.5,3.9,112.5,10.25,0.293,0.092,6639.0,0
10.25,73.4,22.1,95.1,4.2,56.0,8.41,0.341,0.147,479.0,0
2.88,12.85,18.8,87.3,32.5,192.5,2.42,0.101,0.026,332.0,0
13.71,83.29,34.7,73.5,3.8,570.2,5.96,0.353,0.167,1558.0,0
7.18,45.49,26.6,96.7,36.8,218.4,3.54,0.285,0.091,100.0,0
20.49,144.98,32.3,80.0,19.9,63.4,24.81,0.431,0.29,13342.0,1
19.83,111.08,22.4,98.2,17.8,579.1,1.9,0.449,0.222,2125.0,1
70.93,535.35,37.0,49.2,1.5,419.0,0.16,0.308,1.0,3854.0,2
6.74,28.95,38.7,95.2,24.6,30.4,7.33,0.193,0.058,3590.0,0
14.79,82.91,22.6,63.1,6.4,179.3,9.7,0.159,0.166,6958.0,0
16.04,124.06,31.6,44.5,0.7,34.1,5.12,0.486,0.248,1070.0,1
7.27,50.13,29.2,98.4,0.8,10.0,11.21,0.352,0.1,413.0,0
7.39,53.38,23.2,53.0,0.2,62.5,1.06,0.079,0.107,3682.0,1
0.02,0.15,19.7,48.7,29.3,409.3,0.1,0.059,0.0,2550.0,1
16.07,116.19,36.9,59.2,8.6,127.1,1.63,0.684,0.232,1301.0,1
18.92,69.31,27.7,41.2,4.2,212.8,0.32,0.212,0.139,226.0,0
40.81,217.49,26.7,80.0,16.7,43.3,1.12,0.404,0.435,178.0,2
20.32,130.7,27.3,75.0,1.0,29.0,5.45,0.163,0.261,100.0,1
1.53,4.64,20.6,49.0,8.2,324.2,1.65,0.051,0.009,4791.0,0
13.32,58.36,18.8,50.5,7.3,669.9,1.55,0.181,0.117,1543.0,0
0.41,2.87,15.7,44.8,2.3,171.1,4.63,0.076,0.006,949.0,0
19.92,64.12,27.5,88.7,16.7,10.0,0.98,0.102,0.128,1446.0,1
19.48,90.07,18.4,67.4,3.6,402.1,4.41,0.226,0.18,13550.0,0
1.01,6.59,17.9,49.2,27.5,13.2,1.71,0.154,0.013,1074.0,1
29.57,129.21,20.5,98.4,20.4,185.9,12.74,0.253,0.258,3272.0,0
18.03,131.89,19.7,45.4,18.0,255.9,0.95,0.2,0.264,4981.0,1
8.68,41.89,17.5,52.6,48.3,121.9,4.22,0.074,0.084,3516.0,0
11.99,43.74,29.8,66.3,1.5,269.7,8.03,0.119,0.087,1092.0,0
34.63,242.14,22.0,86.6,9.3,399.8,13.03,0.153,0.484,6463.0,1
17.17,102.56,20.7,99.5,2.8,278.5,7.84,0.273,0.205,3083.0,0
24.01,82.58,32.5,82.8,54.1,154.2,3.45,0.477,0.165,100.0,1
47.38,142.69,33.0,40.6,0.2,188.7,7.78,0.218,0.285,100.0,1
62.82,285.96,35.4,59.8,3.2,328.9,1.61,0.297,0.572,2102.0,1
2.76,18.66,28.7,42.7,23.2,487.7,3.34,0.154,0.037,690.0,0
8.46,31.09,31.9,58.9,6.7,671.8,5.99,0.336,0.062,7083.0,0
19.62,77.33,30.0,40.8,11.9,34.6,1.66,0.185,0.155,1272.0,1
46.52,299.6,24.2,43.7,0.6,167.1,10.9,0.157,0.599,2497.0,1
26.69,134.33,16.5,60.6,5.1,121.6,2.06,0.295,0.269,2257.0,1
10.78,78.86,34.7,57.0,37.0,124.3,5.21,0.198,0.158,4462.0,0
39.49,260.17,31.4,40.8,9.7,18.0,2.8,0.061,0.52,100.0,2
0.29,2.1,31.6,83.4,11.4,262.3,0.5,0.281,0.004,6934.0,0
26.39,176.37,28.7,41.1,6.7,10.0,29.2,0.398,0.353,1991.0,1
4.78,17.93,29.6,91.0,30.3,181.5,12.49,0.494,0.036,5215.0,0
1.43,9.31,37.9,71.1,10.3,71.5,11.75,0.434,0.019,5343.0,0
8.97,36.81,23.4,95.4,5.2,435.1,3.44,0.337,0.074,718.0,0
8.45,56.96,24.7,94.5,60.0,89.2,2.29,0.335,0.114,449.0,0
25.3,189.05,29.0,43.2,20.3,23.3,5.54,0.274,0.378,7762.0,1
10.7,46.37,34.5,51.9,27.4,238.5,0.6,0.116,0.093,1135.0,0
9.31,55.89,24.0,68.9,3.3,30.3,0.66,0.397,0.112,5704.0,1
19.2,134.22,28.2,69.4,14.6,261.3,2.2,0.405,0.268,762.0,0
2.56,19.36,28.2,90.8,18.5,340.6,3.92,0.209,0.039,893.0,0
110.3,463.67,22.3,58.0,43.9,61.1,5.59,0.403,0.927,855.0,2
3.83,11.85,23.9,79.1,0.8,781.8,4.7,0.025,0.024,7979.0,0
4.07,23.64,36.7,75.0,3.0,185.0,0.29,0.273,0.047,5699.0,0
10.93,62.01,32.2,82.2,17.8,88.5,2.43,0.369,0.124,1233.0,0
24.09,182.54,24.1,61.3,0.7,10.0,3.24,0.375,0.365,3012.0,1
35.58,226.71,25.8,40.4,14.8,332.5,4.47,0.73,0.453,10238.0,1
3.45,25.52,19.4,69.8,3.7,826.7,9.4,0.341,0.051,3332.0,0
9.38,69.58,28.4,80.1,3.4,77.1,7.75,0.351,0.139,988.0,0
36.7,283.01,21.6,61.6,9.7,185.6,5.52,0.288,0.566,1884.0,1
1.26,8.2,26.2,89.2,16.2,10.0,0.99,0.144,0.016,1057.0,1
125.95,800.0,22.7,55.6,21.9,95.8,7.04,0.056,1.0,2757.0,2
39.29,267.42,22.4,53.0,9.9,120.2,6.45,0.209,0.535,11006.0,1
4.0,26.49,26.1,80.8,14.0,835.5,1.7,0.567,0.053,4359.0,1
12.79,100.39,18.9,72.8,9.2,80.5,5.36,0.232,0.201,1511.0,0
38.84,195.97,28.3,84.5,5.2,129.5,24.05,0.157,0.392,667.0,0
30.28,100.41,19.2,61.9,46.6,99.5,3.73,0.494,0.201,1324.0,1
18.34,74.85,36.3,78.0,0.4,83.5,6.88,0.133,0.15,1642.0,0
58.14,386.48,40.5,72.3,18.4,108.6,5.53,0.387,0.773,2323.0,1
21.94,130.32,24.9,77.3,4.4,54.7,8.87,0.103,0.261,6590.0,1
3.19,13.08,27.2,76.5,12.6,20.4,4.52,0.312,0.026,1053.0,1
5.34,42.4,34.9,55.6,8.1,228.6,10.44,0.269,0.085,218.0,0
10.43,51.6,12.1,89.7,9.4,70.1,7.46,0.113,0.103,2262.0,0
2.35,10.47,22.9,92.3,28.2,461.2,2.46,0.063,0.021,759.0,0
14.5,110.66,29.6,70.6,1.8,127.2,1.01,0.295,0.221,1897.0,1
20.3,158.16,39.5,65.5,73.0,269.7,7.49,0.308,0.316,1122.0,0
24.1,176.29,30.4,84.1,1.1,10.0,0.54,0.59,0.353,1770.0,2
60.09,243.59,29.5,50.7,4.2,160.5,13.32,0.062,0.487,143.0,1
26.28,200.73,25.8,49.1,24.6,123.5,0.39,0.518,0.401,1980.0,1
4.8,18.46,27.6,61.7,36.7,129.3,12.67,0.149,0.037,1490.0,0
33.91,232.53,35.9,40.0,40.3,159.9,4.84,0.078,0.465,7150.0,1
6.54,42.1,29.2,77.8,2.8,35.4,3.96,0.297,0.084,372.0,0
12.12,84.04,29.5,54.6,14.0,701.0,21.93,0.368,0.168,9166.0,0
4.24,21.64,29.4,75.4,13.9,69.1,12.67,0.18,0.043,3263.0,0
10.7,50.71,26.5,81.2,20.3,301.8,2.35,0.071,0.101,2983.0,0
12.05,66.29,26.7,97.7,9.2,140.1,2.02,0.298,0.133,100.0,0
13.56,76.0,30.6,82.0,8.1,65.5,3.95,0.426,0.152,5638.0,1
85.09,656.31,25.2,82.7,11.1,35.2,2.42,0.435,1.0,1682.0,2
29.5,206.93,36.7,69.3,3.9,286.5,1.52,0.082,0.414,1758.0,1
11.14,66.13,22.9,67.6,7.1,50.5,5.79,0.09,0.132,7603.0,0
50.9,229.03,31.9,83.2,1.0,95.2,0.45,0.241,0.458,1650.0,1
7.88,33.24,28.7,77.4,8.9,482.7,3.38,0.261,0.066,2686.0,0
38.97,272.82,25.5,54.1,12.3,97.3,3.08,0.273,0.546,2826.0,1
3.76,18.27,27.4,88.2,39.3,732.6,11.43,0.392,0.037,9831.0,0
10.15,73.04,28.5,45.2,8.1,94.2,2.15,0.167,0.146,7555.0,0
25.07,127.58,26.1,75.4,18.3,16.3,4.06,0.077,0.255,1585.0,1
6.25,27.68,35.3,42.8,5.1,13.2,16.61,0.096,0.055,1103.0,1
5.16,26.05,28.7,58.5,10.1,50.9,0.28,0.194,0.052,6020.0,1
44.4,210.13,35.4,90.7,18.6,469.3,1.45,0.135,0.42,1481.0,1
5.23,32.92,26.4,77.5,5.2,13.5,0.43,0.115,0.066,1488.0,1
61.59,331.26,33.9,85.0,5.4,302.2,1.95,0.471,0.663,658.0,2
58.79,250.72,19.3,86.1,29.8,90.8,3.73,0.692,0.501,6747.0,2
3.63,13.96,21.5,52.2,23.9,63.5,7.95,0.469,0.028,7248.0,0
17.48,124.22,37.2,46.4,0.7,307.3,2.43,0.342,0.248,527.0,1
15.45,109.47,30.6,54.3,20.8,421.8,5.43,0.373,0.219,1356.0,0
16.98,76.19,36.1,65.0,32.9,131.7,8.67,0.273,0.152,365.0,0
13.79,50.15,33.0,52.2,28.2,66.1,7.87,0.505,0.1,5523.0,0
10.02,53.05,36.6,78.8,21.5,52.6,16.95,0.2,0.106,1207.0,0
78.33,311.49,34.3,73.9,14.3,139.5,0.1,0.587,0.623,4416.0,2
6.29,31.12,30.4,66.2,16.6,10.0,2.47,0.064,0.062,4265.0,0
50.01,192.95,29.6,92.2,1.5,478.8,1.6,0.238,0.386,2748.0,1
17.61,121.42,24.2,95.2,21.1,224.5,3.14,0.138,0.243,123.0,0
13.44,98.69,29.7,43.7,4.3,416.8,11.46,0.467,0.197,719.0,0
21.62,91.11,26.6,96.3,0.2,10.0,3.51,0.101,0.182,6631.0,1
3.17,11.84,24.1,88.9,37.1,104.3,0.69,0.099,0.024,100.0,0
1.69,12.62,35.0,74.7,45.1,32.1,25.23,0.234,0.025,8422.0,0
94.32,553.7,34.5,89.2,43.3,215.1,3.23,0.622,1.0,3559.0,2
4.51,35.42,20.9,65.7,12.5,242.5,4.76,0.492,0.071,958.0,0
75.42,509.08,24.3,63.1,28.7,295.1,4.45,0.058,1.0,2603.0,2
33.54,157.21,31.1,97.8,0.3,292.8,16.84,0.621,0.314,6034.0,0
73.09,529.49,40.4,88.7,12.9,12.7,3.18,0.166,1.0,2973.0,3
31.82,239.4,35.0,80.5,5.1,407.7,6.88,0.587,0.479,9132.0,1
28.83,110.59,32.8,84.5,4.4,565.9,1.21,0.213,0.221,1159.0,0
36.03,194.5,36.8,92.8,6.4,308.2,1.27,0.135,0.389,1544.0,1
4.72,17.79,40.2,90.6,8.1,152.0,23.72,0.468,0.036,1966.0,0
12.17,88.4,28.1,89.4,33.4,564.1,2.96,0.062,0.177,4077.0,0
33.0,257.55,28.4,72.7,4.9,124.3,14.67,0.225,0.515,4723.0,1
83.03,474.24,26.3,79.7,4.9,77.7,2.04,0.119,0.948,4394.0,2
11.61,50.77,38.7,46.6,1.7,230.3,7.56,0.175,0.102,3473.0,0
69.57,286.41,20.3,53.2,9.2,79.3,20.67,0.274,0.573,100.0,1
14.01,91.85,18.4,92.5,2.5,219.6,1.55,0.13,0.184,3516.0,1
0.78,3.03,28.4,79.0,10.4,319.2,0.32,0.511,0.006,2143.0,1
0.4,3.18,32.0,66.1,0.9,127.8,3.64,0.129,0.006,1121.0,0
4.44,18.28,29.2,54.8,15.3,15.8,4.25,0.285,0.037,4410.0,1
70.2,484.65,31.0,64.3,10.1,87.8,1.64,0.049,0.969,5192.0,2
28.04,132.53,29.9,66.1,17.7,333.3,5.77,0.35,0.265,2450.0,0
45.16,152.7,27.0,95.3,1.2,251.2,6.65,0.435,0.305,1370.0,1
32.2,177.46,36.0,82.4,12.7,10.0,7.95,0.453,0.355,11727.0,1
7.01,21.6,24.0,75.3,0.6,251.4,3.77,0.254,0.043,604.0,0
40.68,258.64,33.8,45.9,16.4,189.2,3.21,0.431,0.517,1197.0,2
59.35,235.41,41.4,67.7,45.5,81.1,3.75,0.308,0.471,3439.0,1
14.14,62.05,34.6,77.5,49.0,359.1,0.58,0.305,0.124,3624.0,0
28.63,187.22,23.8,55.9,2.1,69.8,1.52,0.211,0.374,4599.0,1
23.84,174.86,29.5,54.5,3.2,221.9,4.85,0.146,0.35,1803.0,0
17.1,104.21,23.9,61.5,2.4,41.6,13.65,0.286,0.208,100.0,1
47.46,180.21,33.7,81.4,13.5,276.1,0.82,0.238,0.36,4034.0,1
10.13,49.84,23.9,84.1,0.7,42.3,5.46,0.212,0.1,901.0,0
4.33,21.95,30.7,73.5,18.8,10.0,1.72,0.041,0.044,801.0,1
19.83,104.17,25.0,58.2,1.7,158.3,7.21,0.141,0.208,2820.0,1
26.11,163.38,28.8,45.7,17.8,258.0,25.16,0.317,0.327,17267.0,0
13.39,47.87,22.0,93.0,18.5,55.2,10.89,0.211,0.096,2514.0,0
69.63,291.05,28.4,88.6,6.5,461.4,7.74,0.31,0.582,1584.0,1
8.56,37.34,23.6,48.1,13.6,65.9,4.77,0.143,0.075,950.0,0
21.77,119.43,21.9,79.9,1.0,417.5,13.99,0.372,0.239,381.0,0
7.83,46.39,33.8,62.0,29.6,201.0,1.21,0.098,0.093,3140.0,0
57.61,432.35,34.4,54.9,30.0,57.5,0.44,0.285,0.865,694.0,3
33.7,206.16,25.7,72.3,27.8,12.5,4.54,0.068,0.412,3925.0,1
11.35,41.61,21.9,63.0,46.3,14.9,2.63,0.159,0.083,100.0,1
36.82,161.49,25.5,52.7,14.6,108.7,3.51,0.225,0.323,389.0,0
55.89,444.76,26.8,71.6,5.1,312.9,0.87,0.468,0.89,3159.0,2
4.46,26.67,24.9,54.6,6.2,571.0,29.72,0.057,0.053,4030.0,0
1.56,10.55,31.6,87.3,12.8,18.8,11.04,0.338,0.021,1953.0,0
38.72,275.57,24.5,48.2,10.0,320.9,15.1,0.064,0.551,1548.0,1
19.91,66.56,24.0,48.7,11.9,12.8,10.64,0.427,0.133,4343.0,1
40.92,253.89,25.4,45.6,5.0,200.3,1.23,0.037,0.508,4684.0,1
5.08,16.04,35.2,66.0,18.3,121.2,3.08,0.077,0.032,1511.0,0
40.58,141.23,27.9,83.9,9.2,10.6,5.86,0.32,0.282,1957.0,1
20.65,141.45,31.9,61.6,3.0,45.8,0.1,0.181,0.283,6747.0,2
5.83,21.38,20.1,90.4,7.5,459.0,1.51,0.214,0.043,2562.0,0
1.0,4.6,28.1,63.7,4.3,10.0,1.92,0.118,0.009,128.0,1
8.32,32.32,27.0,88.0,18.8,313.0,13.8,0.218,0.065,4050.0,0
